109
3,9
3,10
3,20
3,21
3,22
3,23
3,24
3,25
3,26
3,27
3,28
3,29
3,30
3,31,36
3,31,39
3,31,45
3,32,39
3,34,39
3,35
3,36,39
3,37
3,38
3,39,43
3,39,45
3,40
3,41
3,42
3,46
3,50
3,51
3,52
3,54
3,55
4,9,30
4,9,31
4,9,41
4,9,42
4,9,51
4,10,32,36
4,10,33,36
4,10,34,36
4,10,36,39
4,10,36,43
4,10,36,44
4,10,36,45
4,10,36,56
4,10,36,57
4,10,36,58
4,10,36,59
4,10,36,60
4,10,42,56
4,10,42,57
4,10,42,58
4,20,32,36
4,20,33,36
4,20,34,36
4,20,36,39
4,20,36,43
4,20,36,44
4,20,36,45
4,20,36,56
4,20,36,57
4,20,36,58
4,20,36,59
4,20,36,60
4,20,42,56
4,20,42,57
4,20,42,58
4,21,32,36
4,21,33,36
4,21,34,36
4,21,36,39
4,21,36,43
4,21,36,44
4,21,36,45
4,21,36,56
4,21,36,57
4,21,36,58
4,21,36,59
4,21,36,60
4,21,42,56
4,21,42,57
4,21,42,58
4,22,32,36
4,22,33,36
4,22,34,36
4,22,36,39
4,22,36,43
4,22,36,44
4,22,36,45
4,22,36,56
4,22,36,57
4,22,36,58
4,22,36,59
4,22,36,60
4,22,42,56
4,22,42,57
4,22,42,58
4,23,32,36
4,23,33,36
4,23,34,36
4,23,36,39
4,23,36,43
4,23,36,44
4,23,36,45
4,23,36,56
4,23,36,57
4,23,36,58
4,23,36,59
4,23,36,60
4,23,42,56
4,23,42,57
4,23,42,58
4,24,32,36
4,24,33,36
4,24,34,36
4,24,36,39
4,24,36,43
4,24,36,44
4,24,36,45
4,24,36,56
4,24,36,57
4,24,36,58
4,24,36,59
4,24,36,60
4,24,42,56
4,24,42,57
4,24,42,58
4,25,32,36
4,25,33,36
4,25,34,36
4,25,36,39
4,25,36,43
4,25,36,44
4,25,36,45
4,25,36,56
4,25,36,57
4,25,36,58
4,25,36,59
4,25,36,60
4,25,42,56
4,25,42,57
4,25,42,58
4,26,32,36
4,26,33,36
4,26,34,36
4,26,36,39
4,26,36,43
4,26,36,44
4,26,36,45
4,26,36,56
4,26,36,57
4,26,36,58
4,26,36,59
4,26,36,60
4,26,42,56
4,26,42,57
4,26,42,58
4,27,32,36
4,27,33,36
4,27,34,36
4,27,36,39
4,27,36,43
4,27,36,44
4,27,36,45
4,27,36,56
4,27,36,57
4,27,36,58
4,27,36,59
4,27,36,60
4,27,42,56
4,27,42,57
4,27,42,58
4,28,32,36
4,28,33,36
4,28,34,36
4,28,36,39
4,28,36,43
4,28,36,44
4,28,36,45
4,28,36,56
4,28,36,57
4,28,36,58
4,28,36,59
4,28,36,60
4,28,42,56
4,28,42,57
4,28,42,58
4,29,32,36
4,29,33,36
4,29,34,36
4,29,36,39
4,29,36,43
4,29,36,44
4,29,36,45
4,29,36,56
4,29,36,57
4,29,36,58
4,29,36,59
4,29,36,60
4,29,42,56
4,29,42,57
4,29,42,58
4,30,36
4,30,37
4,30,41
4,30,42
4,30,51
4,30,52
4,31,36
4,31,37
4,31,41
4,31,42
4,31,51
4,31,52
4,32,35,36
4,32,36,39
4,32,36,40
4,32,36,46
4,32,36,50
4,32,36,54
4,32,36,55
4,32,39,52
4,32,41
4,32,42
4,32,51
4,33,35,36
4,33,36,39
4,33,36,40
4,33,36,46
4,33,36,50
4,33,36,54
4,33,36,55
4,34,35,36
4,34,36,39
4,34,36,40
4,34,36,46
4,34,36,50
4,34,36,54
4,34,36,55
4,34,39,52
4,34,41
4,34,42
4,34,51
4,35,36,39
4,35,36,43
4,35,36,44
4,35,36,45
4,35,36,56
4,35,36,57
4,35,36,58
4,35,36,59
4,35,36,60
4,35,42,56
4,35,42,57
4,35,42,58
4,36,37
4,36,39,40
4,36,39,43
4,36,39,44
4,36,39,45
4,36,39,46
4,36,39,50
4,36,39,54
4,36,39,55
4,36,39,56
4,36,39,57
4,36,39,58
4,36,39,59
4,36,39,60
4,36,40,43
4,36,40,44
4,36,40,45
4,36,40,56
4,36,40,57
4,36,40,58
4,36,40,59
4,36,40,60
4,36,41
4,36,42
4,36,43,46
4,36,43,50
4,36,43,54
4,36,43,55
4,36,44,46
4,36,44,50
4,36,44,54
4,36,44,55
4,36,45,46
4,36,45,50
4,36,45,54
4,36,45,55
4,36,46,56
4,36,46,57
4,36,46,58
4,36,46,59
4,36,46,60
4,36,50,56
4,36,50,57
4,36,50,58
4,36,50,59
4,36,50,60
4,36,51
4,36,54,56
4,36,54,57
4,36,54,58
4,36,54,59
4,36,54,60
4,36,55,56
4,36,55,57
4,36,55,58
4,36,55,59
4,36,55,60
4,37,39
4,37,41
4,37,42
4,37,51
4,37,52
4,38
4,39,41
4,39,42
4,39,43,52
4,39,44,52
4,39,45,52
4,39,51
4,39,52,56
4,39,52,57
4,39,52,58
4,39,52,59
4,39,52,60
4,40,42,56
4,40,42,57
4,40,42,58
4,41,51
4,41,52
4,41,56
4,41,57
4,41,58
4,42,46,56
4,42,46,57
4,42,46,58
4,42,50,56
4,42,50,57
4,42,50,58
4,42,51
4,42,52
4,42,54,56
4,42,54,57
4,42,54,58
4,42,55,56
4,42,55,57
4,42,55,58
4,43,51
4,45,51
4,51,52
5,9
5,10
5,20
5,21
5,22
5,23
5,24
5,25
5,26
5,27
5,28
5,29
5,30
5,31,36
5,31,39
5,31,45
5,32,39
5,34,39
5,35
5,36,39
5,37
5,38
5,39,43
5,39,45
5,40
5,41
5,42
5,46
5,50
5,51
5,52
5,54
5,55
9,30,39
9,30,52
9,31,39
9,31,52
9,32,39
9,32,52
9,34,39
9,34,52
9,36
9,37
9,38
9,39,41
9,39,42
9,39,43
9,39,44
9,39,45
9,39,51
9,39,56
9,39,57
9,39,58
9,39,59
9,39,60
9,41,52
9,42,52
9,43,52
9,44,52
9,45,52
9,51,52
9,52,56
9,52,57
9,52,58
9,52,59
9,52,60
10,31,39,42
20,31,39,42
21,31,39,42
22,31,39,42
23,31,39,42
24,31,39,42
25,31,39,42
26,31,39,42
27,31,39,42
28,31,39,42
29,31,39,42
30,36,41
30,36,42
30,36,51
30,37,38
30,37,41
30,37,42
30,37,51
30,37,52
30,38,39
30,38,41
30,38,42
30,38,51
30,38,52
30,39,41
30,39,42
30,39,51
30,41,52
30,42,52
30,51,52
31,35,39,42
31,36,41
31,36,42
31,36,51
31,37,38
31,37,41
31,37,42
31,37,51
31,37,52
31,38,39
31,38,41
31,38,42
31,38,51
31,38,52
31,39,40,42
31,39,41
31,39,42,46
31,39,42,50
31,39,42,54
31,39,42,55
31,39,51
31,41,52
31,42,52
31,51,52
32,36,51
32,37,51
32,51,52
33,36,51
33,51,52
34,36,51
34,37,38
34,37,41
34,37,42
34,37,51
34,37,52
34,38,52
34,41,52
34,42,52
34,51,52
36,37,41
36,37,42
36,37,51
36,38
36,39,41
36,39,42
36,39,51
36,41,51
36,42,51
36,43,51
36,44,51
36,45,51
36,51,56
36,51,57
36,51,58
36,51,59
36,51,60
36,52
37,38,51
37,39,51
37,41,51
37,42,51
37,43,51
37,45,51
37,51,52
38,39,51
38,41,51
38,42,51
38,51,52
39,41,51
39,42,51
39,51,52
41,51,52
42,51,52
43,51,52
44,51,52
45,51,52
51,52,56
51,52,57
51,52,58
51,52,59
51,52,60
